id,forager_id,item_id,kg
32c95e36-66d7-4e6e-b729-c54557671a1a,cda52d73-fa62-465b-ba64-189a9f356938,1,1.0
ef734bb7-7e9c-4eb8-9ae2-a95e27ca4532,cda52d73-fa62-465b-ba64-189a9f356938,1,1.0
96c74b4a-333c-4e75-a171-36ca6b15d145,cda52d73-fa62-465b-ba64-189a9f356938,1,1.0
0f159343-efd2-4e22-8079-0f7bc8031207,cda52d73-fa62-465b-ba64-189a9f356938,1,1.0
7fb34e54-1266-4641-81aa-5c71fa88f0ba,cda52d73-fa62-465b-ba64-189a9f356938,1,1.0
fb68327c-0829-4053-a42c-8c186121c42d,cda52d73-fa62-465b-ba64-189a9f356938,1,1.0
ecdcc4f1-3247-42dc-baaf-1c3b737f3680,cda52d73-fa62-465b-ba64-189a9f356938,1,1.0
8c2848cb-7c77-47cf-89c9-5a5c4dbe064f,8acb64d4-bc5c-437f-b2eb-b52a505a60ab,1,1.0
a1da446c-cc18-4dfd-a260-806e4ed7c0ca,8acb64d4-bc5c-437f-b2eb-b52a505a60ab,1,1.0
a1387d15-09f0-467e-8c6a-0c37aee71765,8acb64d4-bc5c-437f-b2eb-b52a505a60ab,1,1.0
950f9d57-5994-4f34-88b2-b6a5f43725e7,8acb64d4-bc5c-437f-b2eb-b52a505a60ab,1,1.0
7cb5adca-2cc8-43b6-b8cd-14be4ac1de1b,8acb64d4-bc5c-437f-b2eb-b52a505a60ab,1,1.0
158dd5a5-1893-4bce-9166-b987ebad8751,8acb64d4-bc5c-437f-b2eb-b52a505a60ab,1,1.0
60ea823d-19ab-4e48-bff5-d9b55cdb0da6,8acb64d4-bc5c-437f-b2eb-b52a505a60ab,1,1.0
796fa7a0-b26e-44b2-a0ff-f9dc80a42df0,8acb64d4-bc5c-437f-b2eb-b52a505a60ab,1,1.0
cb49a355-0e12-4e1e-b8f1-d679b3af00c7,8acb64d4-bc5c-437f-b2eb-b52a505a60ab,1,1.0
9b028822-f2d6-4178-a68d-5bad0f4f8e5a,e00e9079-d9fc-48e0-8434-2f8efad64473,27,9.0
